iter	Passed	Remaining
247	397	1204
248	397	1200
249	398	1195
250	399	1191
251	400	1187
252	400	1183
253	401	1179
254	402	1175
255	402	1171
256	403	1167
257	404	1162
258	405	1158
259	405	1155
260	406	1151
261	407	1148
262	410	1149
263	411	1146
264	412	1142
265	412	1139
266	413	1135
267	414	1132
268	415	1128
269	416	1124
270	416	1121
271	417	1118
272	418	1114
273	419	1111
274	420	1107
275	421	1105
276	422	1101
277	423	1099
278	424	1097
279	425	1093
280	425	1089
281	426	1086
282	427	1082
283	427	1078
284	428	1075
285	429	1072
286	430	1068
287	430	1065
288	431	1061
289	432	1058
290	432	1054
291	434	1053
292	435	1050
293	436	1047
294	436	1043
295	438	1043
296	439	1040
297	440	1037
298	441	1034
299	441	1030
300	442	1027
301	443	1024
302	444	1021
303	445	1019
304	446	1017
305	447	1014
306	448	1012
307	449	1009
308	449	1005
309	450	1003
310	453	1004
311	454	1002
312	455	1000
313	456	997
314	457	994
315	458	992
316	459	990
317	460	987
318	460	983
319	462	982
320	463	979
321	464	977
322	465	975
323	469	980
324	470	977
325	471	975
326	472	972
327	473	969
328	474	967
329	474	964
330	475	961
331	476	958
332	477	956
333	478	953
334	479	951
335	479	948
336	483	951
337	484	948
338	485	946
339	486	943
340	486	941
341	487	938
342	488	935
343	489	932
344	489	930
345	490	927
346	491	924
347	492	921
348	492	919
349	493	916
350	494	913
351	495	911
352	497	911
353	497	908
354	498	905
355	499	903
356	499	900
357	500	897
358	501	895
359	502	892
360	502	890
361	503	887
362	504	884
363	505	882
364	505	879
365	506	877
366	507	874
367	507	872
368	508	869
369	510	868
370	512	868
371	512	865
372	513	863
373	514	860
374	514	858
375	515	855
376	516	853
377	517	850
378	517	848
379	518	846
380	519	843
381	519	841
382	520	838
383	521	836
384	522	834
385	523	832
386	524	830
387	526	830
388	527	828
389	528	826
390	528	823
391	529	821
392	530	819
393	531	817
394	532	815
395	533	813
396	533	810
397	534	808
398	535	806
399	536	805
400	538	803
401	538	801
402	540	801
403	541	799
404	542	797
405	543	795
406	544	792
407	545	790
408	545	788
409	546	786
410	547	784
411	548	782
412	549	780
413	550	778
414	551	776
415	551	774
416	552	772
417	553	770
418	555	770
419	556	768
420	556	765
421	557	763
422	558	761
423	559	759
424	559	757
425	560	755
426	561	753
427	562	751
428	562	749
429	563	746
430	564	745
431	565	743
432	566	741
433	566	739
434	567	737
435	568	736
436	570	734
437	571	732
438	571	730
439	572	728
440	573	726
441	574	724
442	574	722
443	575	720
444	576	718
445	576	716
446	578	715
447	578	713
448	579	711
449	580	709
450	581	707
451	581	705
452	582	703
453	585	703
454	585	701
455	586	699
456	587	697
457	588	695
458	588	694
459	589	692
460	590	690
461	590	688
462	592	687
463	593	685
464	594	683
465	595	681
466	595	679
467	596	677
468	597	676
469	599	676
470	600	674
471	601	672
472	601	670
473	602	668
474	603	667
475	604	665
476	605	663
477	606	662
478	607	660
